number,name,latitude,longitude,bikes,stands
51,YORK STREET WEST,53.339334,-6.264699,6,34
52,YORK STREET EAST,53.338755,-6.262003,11,21
53,NEWMAN HOUSE,53.337132,-6.26059,7,33
54,CLONMEL STREET,53.336021,-6.26298,2,31
55,HATCH STREET,53.33403,-6.260714,0,36
56,MOUNT STREET LOWER,53.33796,-6.24153,4,36
57,GRATTAN STREET,53.339629,-6.243778,6,17
58,SIR PATRICK DUN'S,53.339218,-6.240642,0,40
59,DENMARK STREET GREAT,53.35561,-6.261397,0,20
60,NORTH CIRCULAR ROAD,53.359624,-6.260348,21,9
61,HARDWICKE PLACE,53.357043,-6.263232,1,24
62,LIME STREET,53.346026,-6.243576,4,36
63,FENIAN STREET,53.341428,-6.24672,13,22
64,SANDWITH STREET,53.345203,-6.247163,0,0
65,CONVENTION CENTRE,53.34744,-6.238523,0,40
66,NEW CENTRAL BANK,53.347122,-6.234749,1,39
67,THE POINT,53.346867,-6.230852,28,12
68,HANOVER QUAY,53.344115,-6.237153,2,38
69,GRAND CANAL DOCK,53.342638,-6.238695,9,31
70,BARROW STREET,53.341655,-6.236198,26,14
71,KEVIN STREET,53.337757,-6.267699,5,35
72,JOHN STREET WEST,53.343105,-6.277167,11,20
73,FRANCIS STREET,53.342081,-6.275233,10,20
74,OLIVER BOND STREET,53.343893,-6.280531,21,9
75,JAMES STREET,53.343456,-6.287409,11,29
76,MARKET STREET SOUTH,53.342296,-6.287661,21,17
77,WOLFE TONE STREET,53.348875,-6.267459,4,25
78,MATER HOSPITAL,53.359967,-6.264828,2,38
79,ECCLES STREET EAST,53.358115,-6.265601,1,26
80,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,2,38
81,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,0,40
82,MOUNT BROWN,53.341645,-6.29719,2,20
83,EMMET ROAD,53.340714,-6.308191,13,27
84,BROOKFIELD ROAD,53.339005,-6.300217,7,23
85,ROTHE ABBEY,53.338776,-6.30395,9,26
86,PARKGATE STREET,53.347972,-6.291804,19,19
87,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,8,30
88,BLACKHALL PLACE,53.3488,-6.281637,2,28
89,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,0,0
90,BENSON STREET,53.344153,-6.233451,0,0
91,SOUTH DOCK ROAD,53.341833,-6.231291,6,24
92,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,34,6
93,HEUSTON STATION (CENTRAL),53.346603,-6.296924,27,13
94,HEUSTON STATION (CAR PARK),53.346985,-6.297804,8,32
95,ROYAL HOSPITAL,53.343897,-6.29706,14,26
96,KILMAINHAM LANE,53.341805,-6.305085,0,30
97,KILMAINHAM GAOL,53.342113,-6.310015,1,39
98,FREDERICK STREET SOUTH,53.341515,-6.256853,20,10
99,CITY QUAY,53.346637,-6.246154,27,3
100,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,25,0
101,KING STREET NORTH,53.350291,-6.273507,8,22
102,WESTERN WAY,53.354929,-6.269425,3,37
